Key	Company	Position	Location	Category	Experience_Level	Salary
fb32dcaf38daad1b	Humana	Senior Software Engineer Varicent ICM	Remote in Alabama	SE	MID_LEVEL	
f1af46383cbbe742	OrionNet Systems	Junior Developer (FT)	Oklahoma City, OK 73131	SE	MID_LEVEL	
703f2c6909855b6e	Techsara solutions	Full Stack Developer	Remote in Broomfield, CO	SE	MID_LEVEL	
d4e8cdb7bd4f88da	2HB Incorporated	Mid-Level Software Engineer	Annapolis Junction, MD	SE	MID_LEVEL	
5f8513f6cfb11343	Sirius XM	Software Engineer	New York, NY 10019 (Midtown area)	SE	MID_LEVEL	
3856eddd92db86d0	Amazon.com Services LLC	Software Development Engineer, Swami Team	Arlington, VA	SE	MID_LEVEL	
bd332cd7e7615f57	Electronic Arts	Site Reliability Engineer (SRE) - Remote	Remote in Redwood City, CA 94065	SE	MID_LEVEL	$99,900 - $141,800 a year
7af1e5a87a388a58	CVS Health	Analyst Application Developer	Solon, OH	SE	MID_LEVEL	$28.85 - $57.69 an hour
e1af147dc62f204e	CVS Health	Analyst Application Developer	Solon, OH	SE	MID_LEVEL	$28.85 - $57.69 an hour
ffc13ad8d90db079	Taldeco LLC	Automation Controls Engineer	Royal Oak, MI	SE	MID_LEVEL	$95,000 - $100,000 a year
f957064264c1dff7	PACCAR	Embedded Systems Engineer- Fuel Cell Powertrain Integration	Kirkland, WA 98033 (Highlands area)	SE	MID_LEVEL	$80,800 - $126,600 a year
f69345e903d63b10	JPMorgan Chase & Co	Aumni - Software Engineer III	Salt Lake City, UT 84121	SE	MID_LEVEL	
02e29423b2af0ef9	Humana	Senior Software Engineer Varicent ICM	Remote in New York State	SE	MID_LEVEL	
0eb08071f0bd7e2c	Children's Healthcare of Atlanta	Application Integration Analyst	Brookhaven, GA 30329	SE	MID_LEVEL	
c49196f711a6c6df	Amazon Development Center U.S., Inc.	Software Development Engineer II, AWS Amazon Verified Permissions (AVP)	Arlington, VA	SE	MID_LEVEL	
a840735aad568580	Humana	Senior Software Engineer Varicent ICM	Remote in Arizona	SE	MID_LEVEL	
915351612fb4277b	Amazon Development Center U.S., Inc.	Software Development Engineer II, AWS Amazon Verified Permissions (AVP)	Arlington, VA	SE	MID_LEVEL	
a5deb2179beee0eb	CACI	Full Stack Developer	Riverside, CA 92518	SE	MID_LEVEL	
3f8792e5c81a1a25	Phoenix Technical Solutions	Systems Engineer - Controls and Software Diagnostics	Erie, PA 16531	SE	MID_LEVEL	$85,000 - $105,000 a year
bfefb231abc1d772	Kane County Government	Web Developer II	Geneva, IL 60134	SE	MID_LEVEL	$64,000 - $72,000 a year
f0a6eb2480b14deb	ADNET Systems, Inc.	AP090 Scientific Software Developer	Greenbelt, MD 20771	SE	MID_LEVEL	
593d5408699b5948	Humana	Senior Software Engineer Varicent ICM	Remote in South Carolina	SE	MID_LEVEL	
b20ac84731a35516	Humana	Senior Software Engineer Varicent ICM	Remote in Utah	SE	MID_LEVEL	
fc0723f03cdae997	Warner Bros Careers	Game Director	Washington, DC	SE	MID_LEVEL	$175,000 - $325,000 a year
9252077eb8bc2736	Citi	Senior Java Developer - Irving - C12/AVP-Hybrid	Irving, TX	SE	MID_LEVEL	$107,120 - $160,680 a year
0c3f24381ec1e0aa	ServiceNow	Sr Software Engineer	Santa Clara, CA 95054	SE	MID_LEVEL	$133,300 - $226,700 a year
cd1fb759d1678790	Visa	Staff Software Engineer - Testing (Mainframe Applications) (Hybrid/Onsite)	Denver, CO	SE	MID_LEVEL	
40b0cc06bcfd9d46	ANB Sourcing LLC	Python Developer ( W2 only) -- NO C2C	Remote	SE	MID_LEVEL	
4e96be7111f0e5f1	PAC GROUP LLC	Software Developer/ISSO (Secret DoD Clearance Required to Apply)	Doral, FL	SE	MID_LEVEL	From $95,000 a year
5a9212d34370686c	Humana	Senior Software Engineer Varicent ICM	Remote in North Carolina	SE	MID_LEVEL	
bba668e3a98f686d	Amazon Development Center U.S., Inc.	Software Development Engineer, VPC	San Diego, CA	SE	MID_LEVEL	From $115,000 a year
522dec6207625222	Humana	Senior Software Engineer Varicent ICM	Remote in Kansas	SE	MID_LEVEL	
f4016b2654ffa536	IGX Solutions	Developer	Hybrid remote in San Juan, PR 00901	SE	MID_LEVEL	$40,000 - $65,000 a year
80b505b4b8be2d2a	TikTok	Backend Software Engineer - PGC, TikTok TV	San Jose, CA 95110 (Downtown area)	SE	MID_LEVEL	$145,000 - $250,000 a year
ce2b982993da2ff3	Humana	Senior Software Engineer Varicent ICM	Remote in Georgia	SE	MID_LEVEL	
f6b8f234ef34a335	Humana	Senior Software Engineer Varicent ICM	Remote in Idaho	SE	MID_LEVEL	
527f78687caa71df	Walmart	(USA) Staff, Software Engineer	Hybrid remote in Bentonville, AR 72712	SE	MID_LEVEL	
bacb373c2a487888	Humana	Senior Software Engineer Varicent ICM	Remote in Nevada	SE	MID_LEVEL	
a577469ab3c4c2ca	Amazon Development Center U.S., Inc.	Front-End Engineer II, AWS AVP, Amazon Verified Permissions (AVP)	Arlington, VA	SE	MID_LEVEL	
075da39a595391b6	Aveshka Inc	Application (Web) Developer	Detroit, MI 48202 (New Center area)	SE	MID_LEVEL	
4a8713986e3630a9	Humana	Senior Software Engineer Varicent ICM	Remote in Minnesota	SE	MID_LEVEL	
24f2574c9930cd84	e-business international	Firmware Engineer / Developer	Sugar Land, TX	SE	MID_LEVEL	From $90,000 a year
5fd59f5096faaf99	Humana	Senior Software Engineer Varicent ICM	Remote in New Hampshire	SE	MID_LEVEL	
6408cbd4095ddae6	Humana	Senior Software Engineer Varicent ICM	Remote	SE	MID_LEVEL	
d10e57ffe33fa56f	CyberCore Technologies	Software Engineer 0	Laurel, MD	SE	MID_LEVEL	
91b75985ffb91d82	TheMasonGroup	Web Development Director	Allentown, PA	SE	MID_LEVEL	$125,000 - $170,000 a year
834555b5917ca8b9	Humana	Senior Software Engineer Varicent ICM	Remote in Washington State	SE	MID_LEVEL	
1096522413ac3445	Harmonia Holdings Group, LLC	Software Engineer	Washington, DC 20520 (Foggy Bottom area)	SE	MID_LEVEL	
97e28ca63fdbf16e	Humana	Senior Software Engineer Varicent ICM	Remote in Indiana	SE	MID_LEVEL	
b7e254fea6f925fe	Centric Consulting	SAS/SQL R Programmer	Seattle, WA	SE	MID_LEVEL	
