Key	Company	Position	Location	Category	Experience_Level	Salary
fa0bc73b8982881e	University of Texas at Austin	Research Associate, Department of Mechanical Engineering, Cockrell School of Engineering	Austin, TX 78701 (Downtown area)	ME	ENTRY_LEVEL	$60,000 a year
264cf8ecf3aba384	System	Mechanical Engineer	Columbus, OH 43085 (Worthington Village North area)	ME	ENTRY_LEVEL	Estimated $71K - $89.9K a year
6390b2599326b58c	Transwall Office Systems, Inc.	Engineer Product Design	West Chester, PA 19380	ME	ENTRY_LEVEL	$60,000 - $80,000 a year
67861373ac1a6df5	Bosch Group	Brake Systems Engineer	Plymouth, MI 48170	ME	ENTRY_LEVEL	Estimated $72.3K - $91.6K a year
5d8b3a0c2ebd7820	Archem America, Inc	Mechanical Engineer Technician	Upper Sandusky, OH 43351	ME	ENTRY_LEVEL	Estimated $47K - $59.6K a year
b26b719b50ee3cf7	Chromalloy	Mechanical/Production Engineering Co-Op (January 2024)	Newnan, GA 30265	ME	ENTRY_LEVEL	Estimated $74.7K - $94.6K a year
0b3ea99f6862d0df	Markforged	Manufacturing Engineer - DFM/DFA	Waltham, MA	ME	ENTRY_LEVEL	Estimated $77.4K - $98K a year
cf43a0048bef98ac	Honda Development and Manufacturing of America,...	Closure Design Engineer	Raymond, OH	ME	ENTRY_LEVEL	Estimated $82.6K - $105K a year
b110aaaf6d3cdcbd	Sorting Tab	Quality Engineer (Korean Only)	Shorter, AL	ME	ENTRY_LEVEL	Up to $65,000 a year
8053d07a1c64f5bd	Urenco	Commissioning Support Engineer	Eunice, NM 88231	ME	ENTRY_LEVEL	$80,142 - $97,734 a year
c82f9bb330c72bab	Pegasus Steel	Manufacturing Engineer- Entry Level	Charleston, SC	ME	ENTRY_LEVEL	Estimated $61K - $77.3K a year
6f6603081f48a30c	Sargent & Lundy	Transmission Line Engineer -- Entry-Level	Hybrid remote in Chicago, IL 60603	ME	ENTRY_LEVEL	Estimated $63.7K - $80.6K a year
508b8b9a90f68134	Johnson Controls	Product Application Engineer	Lebanon, IN 46052	ME	ENTRY_LEVEL	
f99bd72d709ebfca	Steam Management	Project Developer/Engineer	Boston, MA 02111 (Central area)	ME	ENTRY_LEVEL	Estimated $77.2K - $97.7K a year
2ff9beb0373ed3a2	Adaptek Systems	Mechanical Automation Systems Design Engineers	Fort Wayne, IN 46818	ME	ENTRY_LEVEL	Estimated $57.5K - $72.8K a year
6199d1db906b79d6	California Baptist University	College of Engineering Adjunct – Mechanical Engineering	Riverside, CA 92504 (Ramona area)	ME	ENTRY_LEVEL	
ff5366e47adac896	US Bonneville Power Administration	Interdisciplinary Architect/Civil Engineer (Structural)/Mechanical Engineer/Electrical Engineer	Portland, OR	ME	ENTRY_LEVEL	$105,666 - $137,363 a year
9d39764857e83350	Bosch Group	Manufacturing Engineer	Charleston, SC 29418	ME	ENTRY_LEVEL	Estimated $63.6K - $80.5K a year
07b2a94695eec939	Andersen Corporation	Operations Leadership Development Program	Bayport, MN	ME	ENTRY_LEVEL	Estimated $62.9K - $79.6K a year
281304820a547561	Quest Global	Project Engineer	Phoenix, AZ 85029 (North Mountain area)	ME	ENTRY_LEVEL	Estimated $78.9K - $100K a year
0bc9811f6051c717	Quest Global	Design Engineer	Phoenix, AZ 85029 (North Mountain area)	ME	ENTRY_LEVEL	$28 - $35 an hour
5a2e20a324440de7	Oak Ridge National Laboratory	R&D Associate, Power Electronics Packaging	Knoxville, TN 37932	ME	ENTRY_LEVEL	Estimated $71K - $89.9K a year
c611da749c5a4d7b	Hire Technologies, Inc.	Mechanical Engineer/PE	Lynchburg, VA 24501	ME	ENTRY_LEVEL	Estimated $90K - $114K a year
0b162ace1748e933	Eaton	Manufacturing Engineer	Bethel, CT 06801	ME	ENTRY_LEVEL	$62,250.03 - $91,300.04 a year
a032ce1b9429aaae	Sargent & Lundy	Transmission Line Engineer -- Entry-Level	Hybrid remote in Warrenville, IL 60555	ME	ENTRY_LEVEL	Estimated $63.9K - $80.9K a year
a68e130b0028a991	WSP	CFD Analyst- Mechanical Engineer	Tempe, AZ 85281	ME	ENTRY_LEVEL	$68,900 - $130,000 a year
44d03b392be9a36d	Baker Hughes	Mechanical Engineer	Pittsburgh, PA	ME	ENTRY_LEVEL	
c6a5213805daffe4	CONMED	Mechanical Engineer I (Sustaining)	Denver, CO 80111	ME	ENTRY_LEVEL	$55,000 - $85,000 a year
8be2fcc489215cea	National Steel and Shipbuilding Com	Engineer - All Levels	San Diego, CA 92108	ME	ENTRY_LEVEL	Estimated $70.4K - $89.2K a year
a36f1a054209c29b	ITC, Inc.	Mechanical Engineer	Peoria, IL 61614	ME	ENTRY_LEVEL	$58,240 - $60,320 a year
bd4e51bf9912640e	Affiliated Construction Services, Inc.	Mechanical Engineer – Entry Level	Hybrid remote in Verona, WI 53593	ME	ENTRY_LEVEL	Estimated $62.5K - $79.1K a year
f86fb253625e2676	Northrop Grumman	2024 Associate Hardware Mechanical Engineer/Hardware Mechanical Engineer Apopka FL	Apopka, FL	ME	ENTRY_LEVEL	
28ab4f04afb89fb2	CommScope	Mechanical Engineering Co-Op: Summer 2024	Shakopee, MN 55379	ME	ENTRY_LEVEL	Estimated $52.9K - $67K a year
e7ec0674fa31e80a	T E Inc	Mechanical Engineer	Renton, WA 98057 (North Renton area)	ME	ENTRY_LEVEL	$26 - $28 an hour
